epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571830283886,2019-10-23T12.31.23.886 pm,0.732,-0.488,-0.610,-0.305
1571830283897,2019-10-23T12.31.23.897 pm,0.743,-0.488,-0.549,-0.427
1571830283907,2019-10-23T12.31.23.907 pm,0.753,-0.610,-0.671,-0.427
1571830283917,2019-10-23T12.31.23.917 pm,0.763,-0.549,-0.671,-0.427
1571830283927,2019-10-23T12.31.23.927 pm,0.773,-0.488,-0.610,-0.427
1571830283938,2019-10-23T12.31.23.938 pm,0.784,-0.549,-0.610,-0.427
1571830283946,2019-10-23T12.31.23.946 pm,0.792,-0.488,-0.549,-0.427
1571830283957,2019-10-23T12.31.23.957 pm,0.803,-0.427,-0.671,-0.366
1571830283967,2019-10-23T12.31.23.967 pm,0.813,-0.427,-0.671,-0.366
1571830283977,2019-10-23T12.31.23.977 pm,0.823,-0.549,-0.610,-0.427
1571830283987,2019-10-23T12.31.23.987 pm,0.833,-0.427,-0.610,-0.427
1571830283998,2019-10-23T12.31.23.998 pm,0.844,-0.488,-0.549,-0.305
1571830284006,2019-10-23T12.31.24.006 pm,0.852,-0.549,-0.610,-0.427
1571830284017,2019-10-23T12.31.24.017 pm,0.863,-0.488,-0.549,-0.427
1571830284027,2019-10-23T12.31.24.027 pm,0.873,-0.427,-0.610,-0.427
1571830284037,2019-10-23T12.31.24.037 pm,0.883,-0.488,-0.549,-0.366
1571830284047,2019-10-23T12.31.24.047 pm,0.893,-0.549,-0.549,-0.366
1571830284058,2019-10-23T12.31.24.058 pm,0.904,-0.488,-0.671,-0.366
1571830284068,2019-10-23T12.31.24.068 pm,0.914,-0.366,-0.610,-0.427
1571830284077,2019-10-23T12.31.24.077 pm,0.923,-0.488,-0.610,-0.366
1571830284087,2019-10-23T12.31.24.087 pm,0.933,-0.549,-0.671,-0.366
1571830284097,2019-10-23T12.31.24.097 pm,0.943,-0.488,-0.549,-0.427
1571830284107,2019-10-23T12.31.24.107 pm,0.953,-0.427,-0.610,-0.366
1571830284118,2019-10-23T12.31.24.118 pm,0.964,-0.427,-0.610,-0.366
1571830284128,2019-10-23T12.31.24.128 pm,0.974,-0.549,-0.610,-0.305
1571830284138,2019-10-23T12.31.24.138 pm,0.984,-0.488,-0.610,-0.366
1571830284147,2019-10-23T12.31.24.147 pm,0.993,-0.488,-0.610,-0.427
1571830284157,2019-10-23T12.31.24.157 pm,1.003,-0.488,-0.549,-0.427
1571830284168,2019-10-23T12.31.24.168 pm,1.014,-0.427,-0.610,-0.366
1571830284178,2019-10-23T12.31.24.178 pm,1.024,-0.549,-0.610,-0.366
1571830284188,2019-10-23T12.31.24.188 pm,1.034,-0.549,-0.671,-0.427
1571830284198,2019-10-23T12.31.24.198 pm,1.044,-0.671,-0.549,-0.366
1571830284209,2019-10-23T12.31.24.209 pm,1.055,-0.610,-0.427,-0.305
1571830284217,2019-10-23T12.31.24.217 pm,1.063,-0.488,-0.549,-0.366
1571830284228,2019-10-23T12.31.24.228 pm,1.074,-0.427,-0.610,-0.427
1571830284238,2019-10-23T12.31.24.238 pm,1.084,-0.488,-0.610,-0.366
1571830284248,2019-10-23T12.31.24.248 pm,1.094,-0.610,-0.610,-0.366
1571830284258,2019-10-23T12.31.24.258 pm,1.104,-0.549,-0.671,-0.427
1571830284269,2019-10-23T12.31.24.269 pm,1.115,-0.549,-0.610,-0.427
1571830284279,2019-10-23T12.31.24.279 pm,1.125,-0.549,-0.488,-0.427
1571830284288,2019-10-23T12.31.24.288 pm,1.134,-0.549,-0.549,-0.305
1571830284298,2019-10-23T12.31.24.298 pm,1.144,-0.549,-0.610,-0.366
1571830284308,2019-10-23T12.31.24.308 pm,1.154,-0.488,-0.549,-0.366
1571830284318,2019-10-23T12.31.24.318 pm,1.164,-0.488,-0.610,-0.305
1571830284329,2019-10-23T12.31.24.329 pm,1.175,-0.549,-0.610,-0.427
1571830284339,2019-10-23T12.31.24.339 pm,1.185,-0.549,-0.610,-0.427
1571830284349,2019-10-23T12.31.24.349 pm,1.195,-0.549,-0.488,-0.488
1571830284358,2019-10-23T12.31.24.358 pm,1.204,-0.549,-0.610,-0.366
1571830284368,2019-10-23T12.31.24.368 pm,1.214,-0.427,-0.732,-0.366
1571830284378,2019-10-23T12.31.24.378 pm,1.224,-0.427,-0.610,-0.366
1571830284389,2019-10-23T12.31.24.389 pm,1.235,-0.488,-0.549,-0.366
1571830284399,2019-10-23T12.31.24.399 pm,1.245,-0.488,-0.610,-0.427
1571830284409,2019-10-23T12.31.24.409 pm,1.255,-0.549,-0.488,-0.427
1571830284418,2019-10-23T12.31.24.418 pm,1.264,-0.488,-0.549,-0.427
1571830284428,2019-10-23T12.31.24.428 pm,1.274,-0.549,-0.549,-0.427
1571830284439,2019-10-23T12.31.24.439 pm,1.285,-0.488,-0.610,-0.427
1571830284449,2019-10-23T12.31.24.449 pm,1.295,-0.488,-0.732,-0.366
1571830284459,2019-10-23T12.31.24.459 pm,1.305,-0.488,-0.610,-0.366
1571830284469,2019-10-23T12.31.24.469 pm,1.315,-0.488,-0.488,-0.366
1571830284480,2019-10-23T12.31.24.480 pm,1.326,-0.549,-0.610,-0.427
1571830284490,2019-10-23T12.31.24.490 pm,1.336,-0.488,-0.610,-0.488
1571830284499,2019-10-23T12.31.24.499 pm,1.345,-0.488,-0.671,-0.427
1571830284509,2019-10-23T12.31.24.509 pm,1.355,-0.549,-0.610,-0.427
1571830284519,2019-10-23T12.31.24.519 pm,1.365,-0.427,-0.549,-0.427
1571830284529,2019-10-23T12.31.24.529 pm,1.375,-0.488,-0.671,-0.366
1571830284540,2019-10-23T12.31.24.540 pm,1.386,-0.488,-0.732,-0.305
1571830284550,2019-10-23T12.31.24.550 pm,1.396,-0.427,-0.549,-0.427
1571830284559,2019-10-23T12.31.24.559 pm,1.405,-0.488,-0.549,-0.366
1571830284569,2019-10-23T12.31.24.569 pm,1.415,-0.427,-0.610,-0.427
1571830284579,2019-10-23T12.31.24.579 pm,1.425,-0.488,-0.671,-0.366
1571830284589,2019-10-23T12.31.24.589 pm,1.435,-0.549,-0.610,-0.366
1571830284600,2019-10-23T12.31.24.600 pm,1.446,-0.610,-0.488,-0.427
1571830284610,2019-10-23T12.31.24.610 pm,1.456,-0.610,-0.610,-0.366
1571830284620,2019-10-23T12.31.24.620 pm,1.466,-0.427,-0.610,-0.366
1571830284629,2019-10-23T12.31.24.629 pm,1.475,-0.427,-0.610,-0.488
1571830284639,2019-10-23T12.31.24.639 pm,1.485,-0.427,-0.610,-0.427
1571830284649,2019-10-23T12.31.24.649 pm,1.495,-0.366,-0.549,-0.366
1571830284660,2019-10-23T12.31.24.660 pm,1.506,-0.366,-0.610,-0.366
1571830284670,2019-10-23T12.31.24.670 pm,1.516,-0.427,-0.671,-0.488
1571830284680,2019-10-23T12.31.24.680 pm,1.526,-0.366,-0.549,-0.427
1571830284690,2019-10-23T12.31.24.690 pm,1.536,-0.549,-0.610,-0.366
1571830284699,2019-10-23T12.31.24.699 pm,1.545,-0.671,-0.549,-0.427
1571830284710,2019-10-23T12.31.24.710 pm,1.556,-0.488,-0.549,-0.427
1571830284720,2019-10-23T12.31.24.720 pm,1.566,-0.488,-0.488,-0.427
1571830284730,2019-10-23T12.31.24.730 pm,1.576,-0.549,-0.549,-0.427
1571830284740,2019-10-23T12.31.24.740 pm,1.586,-0.549,-0.610,-0.427
1571830284751,2019-10-23T12.31.24.751 pm,1.597,-0.488,-0.610,-0.427
1571830284761,2019-10-23T12.31.24.761 pm,1.607,-0.488,-0.549,-0.427
1571830284770,2019-10-23T12.31.24.770 pm,1.616,-0.366,-0.671,-0.427
1571830284780,2019-10-23T12.31.24.780 pm,1.626,-0.366,-0.732,-0.427
1571830284790,2019-10-23T12.31.24.790 pm,1.636,-0.488,-0.732,-0.427
1571830284800,2019-10-23T12.31.24.800 pm,1.646,-0.549,-0.671,-0.366
1571830284811,2019-10-23T12.31.24.811 pm,1.657,-0.671,-0.549,-0.427
1571830284821,2019-10-23T12.31.24.821 pm,1.667,-0.671,-0.610,-0.366
1571830284831,2019-10-23T12.31.24.831 pm,1.677,-0.610,-0.549,-0.366
1571830284840,2019-10-23T12.31.24.840 pm,1.686,-0.610,-0.549,-0.488
1571830284850,2019-10-23T12.31.24.850 pm,1.696,-0.549,-0.671,-0.427
1571830284860,2019-10-23T12.31.24.860 pm,1.706,-0.366,-0.671,-0.427
1571830284871,2019-10-23T12.31.24.871 pm,1.717,-0.366,-0.732,-0.427
1571830284881,2019-10-23T12.31.24.881 pm,1.727,-0.305,-0.671,-0.427
1571830284891,2019-10-23T12.31.24.891 pm,1.737,-0.549,-0.732,-0.427
1571830284901,2019-10-23T12.31.24.901 pm,1.747,-0.549,-0.671,-0.366
1571830284910,2019-10-23T12.31.24.910 pm,1.756,-0.610,-0.549,-0.427
1571830284920,2019-10-23T12.31.24.920 pm,1.766,-0.610,-0.488,-0.366
1571830284931,2019-10-23T12.31.24.931 pm,1.777,-0.610,-0.610,-0.427
1571830284941,2019-10-23T12.31.24.941 pm,1.787,-0.549,-0.549,-0.427
1571830284951,2019-10-23T12.31.24.951 pm,1.797,-0.488,-0.610,-0.305
1571830284961,2019-10-23T12.31.24.961 pm,1.807,-0.427,-0.610,-0.366
1571830284972,2019-10-23T12.31.24.972 pm,1.818,-0.488,-0.610,-0.366
1571830284981,2019-10-23T12.31.24.981 pm,1.827,-0.427,-0.610,-0.427
1571830284991,2019-10-23T12.31.24.991 pm,1.837,-0.427,-0.671,-0.427
1571830285001,2019-10-23T12.31.25.001 pm,1.847,-0.488,-0.488,-0.427
1571830285011,2019-10-23T12.31.25.011 pm,1.857,-0.549,-0.610,-0.488
1571830285022,2019-10-23T12.31.25.022 pm,1.868,-0.610,-0.610,-0.427
1571830285032,2019-10-23T12.31.25.032 pm,1.878,-0.488,-0.610,-0.366
1571830285041,2019-10-23T12.31.25.041 pm,1.887,-0.427,-0.610,-0.427
1571830285051,2019-10-23T12.31.25.051 pm,1.897,-0.610,-0.549,-0.427
1571830285061,2019-10-23T12.31.25.061 pm,1.907,-0.610,-0.549,-0.305
1571830285071,2019-10-23T12.31.25.071 pm,1.917,-0.488,-0.549,-0.305
1571830285082,2019-10-23T12.31.25.082 pm,1.928,-0.427,-0.793,-0.366
1571830285092,2019-10-23T12.31.25.092 pm,1.938,-0.488,-0.671,-0.427
1571830285102,2019-10-23T12.31.25.102 pm,1.948,-0.488,-0.549,-0.366
1571830285112,2019-10-23T12.31.25.112 pm,1.958,-0.488,-0.549,-0.427
1571830285121,2019-10-23T12.31.25.121 pm,1.967,-0.488,-0.610,-0.366
1571830285131,2019-10-23T12.31.25.131 pm,1.977,-0.610,-0.549,-0.366
1571830285142,2019-10-23T12.31.25.142 pm,1.988,-0.549,-0.549,-0.366
1571830285152,2019-10-23T12.31.25.152 pm,1.998,-0.549,-0.610,-0.366
1571830285162,2019-10-23T12.31.25.162 pm,2.008,-0.549,-0.610,-0.366
1571830285172,2019-10-23T12.31.25.172 pm,2.018,-0.488,-0.610,-0.366
1571830285181,2019-10-23T12.31.25.181 pm,2.027,-0.549,-0.610,-0.427
1571830285191,2019-10-23T12.31.25.191 pm,2.037,-0.427,-0.610,-0.366
1571830285202,2019-10-23T12.31.25.202 pm,2.048,-0.366,-0.671,-0.305
1571830285212,2019-10-23T12.31.25.212 pm,2.058,-0.488,-0.610,-0.366
1571830285222,2019-10-23T12.31.25.222 pm,2.068,-0.488,-0.549,-0.366
1571830285232,2019-10-23T12.31.25.232 pm,2.078,-0.488,-0.671,-0.427
1571830285243,2019-10-23T12.31.25.243 pm,2.089,-0.549,-0.610,-0.427
1571830285252,2019-10-23T12.31.25.252 pm,2.098,-0.488,-0.549,-0.366
1571830285262,2019-10-23T12.31.25.262 pm,2.108,-0.549,-0.549,-0.305
1571830285272,2019-10-23T12.31.25.272 pm,2.118,-0.549,-0.610,-0.366
1571830285282,2019-10-23T12.31.25.282 pm,2.128,-0.549,-0.671,-0.427
1571830285293,2019-10-23T12.31.25.293 pm,2.139,-0.610,-0.610,-0.305
1571830285303,2019-10-23T12.31.25.303 pm,2.149,-0.549,-0.671,-0.305
1571830285313,2019-10-23T12.31.25.313 pm,2.159,-0.427,-0.671,-0.366
1571830285322,2019-10-23T12.31.25.322 pm,2.168,-0.549,-0.549,-0.488
1571830285332,2019-10-23T12.31.25.332 pm,2.178,-0.610,-0.549,-0.366
1571830285342,2019-10-23T12.31.25.342 pm,2.188,-0.610,-0.549,-0.366
1571830285353,2019-10-23T12.31.25.353 pm,2.199,-0.549,-0.549,-0.366
1571830285363,2019-10-23T12.31.25.363 pm,2.209,-0.549,-0.610,-0.366
1571830285373,2019-10-23T12.31.25.373 pm,2.219,-0.488,-0.610,-0.366
1571830285383,2019-10-23T12.31.25.383 pm,2.229,-0.488,-0.549,-0.427
1571830285392,2019-10-23T12.31.25.392 pm,2.238,-0.427,-0.549,-0.427
1571830285402,2019-10-23T12.31.25.402 pm,2.248,-0.427,-0.488,-0.427
1571830285413,2019-10-23T12.31.25.413 pm,2.259,-0.488,-0.549,-0.305
1571830285423,2019-10-23T12.31.25.423 pm,2.269,-0.549,-0.488,-0.305
1571830285433,2019-10-23T12.31.25.433 pm,2.279,-0.549,-0.427,-0.427
1571830285443,2019-10-23T12.31.25.443 pm,2.289,-0.549,-0.488,-0.366
1571830285454,2019-10-23T12.31.25.454 pm,2.300,-0.610,-0.610,-0.427
1571830285462,2019-10-23T12.31.25.462 pm,2.308,-0.549,-0.549,-0.366
1571830285473,2019-10-23T12.31.25.473 pm,2.319,-0.488,-0.549,-0.427
1571830285483,2019-10-23T12.31.25.483 pm,2.329,-0.610,-0.549,-0.366
1571830285493,2019-10-23T12.31.25.493 pm,2.339,-0.610,-0.610,-0.366
1571830285503,2019-10-23T12.31.25.503 pm,2.349,-0.671,-0.610,-0.366
1571830285514,2019-10-23T12.31.25.514 pm,2.360,-0.610,-0.671,-0.366
1571830285524,2019-10-23T12.31.25.524 pm,2.370,-0.549,-0.610,-0.427
1571830285533,2019-10-23T12.31.25.533 pm,2.379,-0.488,-0.610,-0.427
1571830285543,2019-10-23T12.31.25.543 pm,2.389,-0.488,-0.732,-0.488
1571830285553,2019-10-23T12.31.25.553 pm,2.399,-0.488,-0.671,-0.366
1571830285564,2019-10-23T12.31.25.564 pm,2.410,-0.549,-0.671,-0.305
1571830285574,2019-10-23T12.31.25.574 pm,2.420,-0.549,-0.671,-0.366
1571830285584,2019-10-23T12.31.25.584 pm,2.430,-0.549,-0.610,-0.305
1571830285593,2019-10-23T12.31.25.593 pm,2.439,-0.488,-0.549,-0.366
1571830285603,2019-10-23T12.31.25.603 pm,2.449,-0.488,-0.549,-0.488
